timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
75311723,75311,1,1,1,0,0,0,0,0
75815101,75311,1,1,1,0,0,0,0,0
76323084,75311,1,1,1,0,0,0,0,0
76830136,75311,1,1,1,0,0,0,0,0
77337150,75311,1,1,1,0,0,0,0,0
77844116,75311,1,1,1,0,0,0,0,0
78352411,75311,1,1,1,0,0,0,0,0
78859117,75311,1,1,1,0,0,0,0,0
79365137,75311,1,1,1,0,0,0,0,0
79872081,75311,1,1,1,0,0,0,0,0
80380085,75311,1,1,1,0,0,0,0,0
80889152,75311,1,1,1,0,0,0,0,0
81395165,75311,1,1,1,0,0,0,0,0
81758148,75311,1,1,1,0,0,0,0,0
82265486,75311,1,1,1,0,0,0,0,0
82773157,75311,1,1,1,0,0,0,0,0
82795368,75311,1,1,1,0,0,0,0,0
83302130,75311,1,1,1,0,0,0,0,0
83743212,75311,1,1,1,0,1,0,0,0
84251185,75311,1,1,1,0,1,0,0,0
84758279,75311,1,1,1,0,1,0,0,0
85268312,75311,1,1,1,0,1,0,0,0
85774232,75311,1,1,1,0,1,0,0,0
86282086,75311,1,1,1,0,1,0,0,0
86789092,75311,1,1,1,0,1,0,0,0
87296307,75311,1,1,1,0,1,0,0,0
87804174,75311,1,1,1,0,1,0,0,0
88310178,75311,1,1,1,0,1,0,0,0
88766454,0,0,1,1,0,1,0,0,0
89269082,0,0,1,1,0,1,0,0,0
