timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
143519089,143519,1,1,1,0,0,0,0,0
144026080,143519,1,1,1,0,0,0,0,0
144533382,143519,1,1,1,0,0,0,0,0
145039888,143519,1,1,1,0,0,0,0,0
145546119,143519,1,1,1,0,0,0,0,0
146054182,143519,1,1,1,0,0,0,0,0
146560113,143519,1,1,1,0,0,0,0,0
147068114,143519,1,1,1,0,0,0,0,0
147577105,143519,1,1,1,0,0,0,0,0
148084187,143519,1,1,1,0,0,0,0,0
148591127,143519,1,1,1,0,0,0,0,0
149098083,143519,1,1,1,0,0,0,0,0
149604209,143519,1,1,1,0,0,0,0,0
150111707,143519,1,1,1,0,0,0,0,0
150618078,143519,1,1,1,0,0,0,0,0
151125081,143519,1,1,1,0,0,0,0,0
151633353,143519,1,1,1,0,0,0,0,0
152140145,143519,1,1,1,0,0,0,0,0
152647558,143519,1,1,1,0,0,0,0,0
153153345,143519,1,1,1,0,0,0,0,0
153660226,143519,1,1,1,0,0,0,0,0
154167245,143519,1,1,1,0,0,0,0,0
154675439,143519,1,1,1,0,0,0,0,0
155182088,143519,1,1,1,0,0,0,0,0
155689084,143519,1,1,1,0,0,0,0,0
156198139,143519,1,1,1,0,0,0,0,0
156705129,143519,1,1,1,0,0,0,0,0
157211162,143519,1,1,1,0,0,0,0,0
157718257,143519,1,1,1,0,0,0,0,0
158224278,143519,1,1,1,0,0,0,0,0
158731682,143519,1,1,1,0,0,0,0,0
159238169,143519,1,1,1,0,0,0,0,0
159746157,143519,1,1,1,0,0,0,0,0
160255479,143519,1,1,1,0,0,0,0,0
160761143,143519,1,1,1,0,0,0,0,0
161267594,143519,1,1,1,0,0,0,0,0
161774691,143519,1,1,1,0,0,0,0,0
162281082,143519,1,1,1,0,0,0,0,0
162788151,143519,1,1,1,0,0,0,0,0
163296085,143519,1,1,1,0,0,0,0,0
163803681,143519,1,1,1,0,0,0,0,0
164310172,143519,1,1,1,0,0,0,0,0
164819276,143519,1,1,1,0,0,0,0,0
165328108,143519,1,1,1,0,0,0,0,0
165835081,143519,1,1,1,0,0,0,0,0
166342123,143519,1,1,1,0,0,0,0,0
166651105,143519,1,1,1,0,0,0,0,0
167157230,143519,1,1,1,0,0,0,0,0
167663133,143519,1,1,1,0,0,0,0,0
168170120,143519,1,1,1,0,0,0,0,0
168677119,143519,1,1,1,0,0,0,0,0
169187192,143519,1,1,1,0,0,0,0,0
169550320,143519,1,1,1,0,1,0,0,0
170059123,143519,1,1,1,0,1,0,0,0
170567216,143519,1,1,1,0,1,0,0,0
171075084,143519,1,1,1,0,1,0,0,0
171582154,143519,1,1,1,0,1,0,0,0
172089085,143519,1,1,1,0,1,0,0,0
172596199,143519,1,1,1,0,1,0,0,0
173105018,143519,1,1,1,0,1,0,0,0
173611342,143519,1,1,1,0,1,0,0,0
174118294,143519,1,1,1,0,1,0,0,0
174570477,0,0,1,1,0,1,0,0,0
174596148,0,0,1,1,0,1,0,0,0
174996178,0,0,1,1,0,1,0,0,0
175496324,0,0,1,1,0,1,0,0,0
