timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
787907818,1,0,1,0,0,0,0,0
788409196,1,0,1,0,0,0,0,0
788920387,1,0,1,0,0,0,0,0
789422039,1,0,1,0,0,0,0,0
789932487,1,0,1,0,0,0,0,0
790442940,1,0,1,0,0,0,0,0
790954074,1,0,1,0,0,0,0,0
791454361,1,0,1,0,0,0,0,0
791966260,1,0,1,0,0,0,0,0
792477012,1,0,1,0,0,0,0,0
792987080,1,0,1,0,0,0,0,0
793497323,1,0,1,0,0,0,0,0
794005987,1,0,1,0,0,0,0,0
794516233,1,0,1,0,0,0,0,0
795028154,1,0,1,0,0,0,0,0
795541502,1,0,1,0,0,0,0,0
796045075,1,0,1,0,0,0,0,0
796546695,1,0,1,0,0,0,0,0
797047038,1,0,1,0,0,0,0,0
797550471,1,0,1,0,0,0,0,0
798055223,1,0,1,0,0,0,0,0
798564224,1,0,1,0,0,0,0,0
799066224,1,0,1,0,0,0,0,0
799572103,1,0,1,0,0,0,0,0
800081826,1,0,1,0,0,0,0,0
800585107,1,0,1,0,0,0,0,0
800898391,1,0,1,0,0,0,0,0
801400120,1,0,1,0,0,0,0,0
801910980,1,0,1,0,0,0,0,0
802411146,1,0,1,0,0,0,0,0
802911965,1,0,1,0,0,0,0,0
803422940,1,0,1,0,0,0,0,0
803933348,1,0,1,0,0,0,0,0
804444138,1,0,1,0,0,0,0,0
804955118,1,0,1,0,0,0,0,0
805460997,1,0,1,0,0,0,0,0
805962991,1,0,1,0,0,0,0,0
806471032,1,0,1,0,0,0,0,0
806972105,1,0,1,0,0,0,0,0
807472110,1,0,1,0,0,0,0,0
807976949,1,0,1,0,0,0,0,0
808482464,1,0,1,0,0,0,0,0
808993016,1,0,1,0,0,0,0,0
809502257,1,0,1,0,0,0,0,0
810011947,1,0,1,0,0,0,0,0
810513024,1,0,1,0,0,0,0,0
811013232,1,0,1,0,0,0,0,0
811514327,1,0,1,0,0,0,0,0
812025066,1,0,1,0,0,0,0,0
812525275,1,0,1,0,0,0,0,0
813035070,1,0,1,0,0,0,0,0
813535111,1,0,1,0,0,0,0,0
814047468,1,0,1,0,0,0,0,0
814558120,1,0,1,0,0,0,0,0
815067980,1,0,1,0,0,0,0,0
815578956,1,0,1,0,0,0,0,0
816080323,1,0,1,0,0,0,0,0
816590941,1,0,1,0,0,0,0,0
816955987,1,0,1,0,0,0,0,0
817456227,1,0,1,0,0,0,0,0
817965944,1,0,1,0,0,0,0,0
818475331,1,0,1,0,0,0,0,0
818933444,0,0,1,0,0,0,0,0
819442997,0,0,1,0,0,0,0,0
819527285,0,0,1,0,0,0,0,0
