timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
240556535,20.460001,20.87228,1.7873,0.06977881,-1.0,27.532272,1.0,1.0,nan,4,5.21807,5.21807,5.21807,5.21807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
240756356,20.658,20.81851,1.8166,1.0062528,-1.0,27.699701,1.0,1.0,nan,4,5.2046275,5.2046275,5.2046275,5.2046275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
240956502,20.735,20.792725,0.1758,1.084179,-1.0,27.773712,1.0,1.0,nan,4,5.198181,5.198181,5.198181,5.198181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
241156268,20.812,20.776567,0.4395,0.79788667,-1.0,27.784962,1.0,1.0,nan,4,5.194142,5.194142,5.194142,5.194142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
241356110,20.79,20.769339,0.2051,0.6074665,-1.0,27.796772,1.0,1.0,nan,4,5.1923347,5.1923347,5.1923347,5.1923347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
241555969,20.702002,20.760857,0.0879,0.47582987,-1.0,27.808865,1.0,1.0,nan,4,5.190214,5.190214,5.190214,5.190214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
241755958,20.757,20.74852,0.26369998,0.382937,-1.0,27.819767,1.0,1.0,nan,4,5.18713,5.18713,5.18713,5.18713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
241955958,20.581,20.741266,0.1172,0.2858432,-1.0,27.824488,1.0,1.0,nan,4,5.1853166,5.1853166,5.1853166,5.1853166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
242156006,20.668999,20.739813,0.0586,0.25541425,-1.0,27.835539,1.0,1.0,nan,4,5.184953,5.184953,5.184953,5.184953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
242355999,20.779,20.733362,0.4395,0.258718,-1.0,27.849577,1.0,1.0,nan,4,5.1833405,5.1833405,5.1833405,5.1833405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
