timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_angle
84398771,0.045820963,0.0013003503,0.0
92021315,0.04718182,0.0014961509,0.0
92026330,0.045926258,0.0013112098,0.0
92221923,0.052355833,0.0017239614,0.0
92422337,0.044064358,0.0019256173,0.0
92622704,0.050525673,0.0014781356,0.0
92823206,0.038387053,0.002197134,0.0
