timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
88461371,0.10222474,0.0028303338,0.0
88667315,0.10415146,0.001249894,0.0
88870977,0.112022646,0.0017718561,0.0
89072633,0.10492924,0.002049605,0.0
89276905,0.09892281,0.0006246214,0.0
89477727,0.10690994,0.0016986356,0.0
89681384,0.10946773,0.0012265396,0.0
89886753,0.11006622,0.0017769383,0.0
90087299,0.100596845,0.0026689311,0.0
90290950,0.10660113,0.0011583022,0.0
90492597,0.10145957,0.0017722759,0.0
90694187,0.10317388,0.0032570949,0.0
90895862,0.10676976,0.001774734,0.0
91101207,0.11035865,0.0019462971,0.0
91301698,0.10815138,0.0011868571,0.0
91505372,0.109585926,0.0010527284,0.0
91706987,0.10578925,0.001830613,0.0
91911284,0.11660111,0.0016374425,0.0
92112108,0.11293361,0.0010786421,0.0
92313828,0.11074365,0.0013782707,0.0
92516587,0.11521454,0.0014225699,0.0
92717393,0.10705812,0.0018909032,0.0
92918167,0.108761676,0.002030658,0.0
93122495,0.10762576,0.0013860276,0.0
93325151,0.10227898,0.0015329785,0.0
93527009,0.11353219,0.0013870527,0.0
93726960,0.108717896,0.0014645712,0.0
93931357,0.107291,0.0013739099,0.0
94132151,0.105192505,0.0018172442,0.0
94336993,0.113085285,0.0013797613,0.0
94540605,0.10735444,0.0013180188,0.0
94741417,0.10823921,0.0012074527,0.0
94947397,0.10187674,0.0017634858,0.0
95150178,0.111546785,0.0013099578,0.0
95350956,0.10976327,0.0009221943,0.0
95557035,0.11475012,0.0024284006,0.0
95756166,0.10690736,0.0014608583,0.0
95960568,0.10947982,0.000759041,0.0
96164882,0.102972366,0.0013068034,0.0
96365410,0.10215218,0.00231656,0.0
96570495,0.107752785,0.0012855713,0.0
96770462,0.112328134,0.0013905774,0.0
96974962,0.104738325,0.0012125695,0.0
97180147,0.10165482,0.0022485217,0.0
97381981,0.09572949,0.0011036622,0.0
97582476,0.099449135,0.0038667065,0.0
97782489,0.09457811,0.001580258,0.0
97986250,0.096617654,0.0007806172,0.0
98191025,0.10588789,0.0003438389,0.0
98391778,0.10416209,0.0014170678,0.0
98596244,0.109007865,0.0008695323,0.0
98798020,0.10033859,0.0003438161,0.0
99002516,0.10358503,0.002169499,0.0
99202534,0.10503813,0.0020456752,0.0
99406970,0.111884885,0.0012123605,0.0
99612132,0.112181716,0.0010096593,0.0
99812072,0.10983468,0.0055227787,0.0
100016806,0.09815462,0.0015254352,0.0
100218204,0.10565359,0.0016141081,0.0
100424519,0.1035398,0.0009808984,0.0
100626999,0.10168708,0.00198304,0.0
100828136,0.11329589,0.00078625506,0.0
101031763,0.10343729,0.002401122,0.0
101233390,0.1078198,0.0016806287,0.0
101434791,0.1098873,0.00086000445,0.0
101637388,0.10599336,0.004888541,0.0
101842618,0.10726384,0.00130706,0.0
102043278,0.10196082,0.0011496485,0.0
102245036,0.10761763,0.002785448,0.0
102445369,0.107022576,0.0013758367,0.0
102650190,0.1069743,0.008163418,0.0
102852032,0.122359425,0.008076691,0.0
103054947,0.12186011,0.008146862,0.0
103255855,0.07081582,0.02131483,0.0
103456601,0.05271559,0.014677119,0.0
103662430,0.11824473,0.01635503,0.0
103863219,0.097603515,0.019506006,0.0
104066966,0.049409557,0.006643725,0.0
104271263,0.06675314,0.012431307,0.0
104471832,0.08200835,0.008759838,0.0
104673400,0.08692171,0.012391601,0.0
104873631,0.17702137,0.009466402,0.0
105073693,0.07049407,0.029331401,0.0
105275655,0.10238877,0.011352487,0.0
105478247,0.107510954,0.0048417505,0.0
105679771,0.009044239,0.013450754,0.0
105884925,0.054705575,0.0057283156,0.0
106085326,0.051362418,0.0062837237,0.0
106289369,0.092698514,0.0062268786,0.0
106490179,0.08299038,0.010397394,0.0
106695277,0.081209004,0.009878115,0.0
106898996,0.08108507,0.008766632,0.0
107100115,0.12318575,0.017033681,0.0
107303777,0.07447023,0.025033435,0.0
107508942,0.04261778,0.011686421,0.0
107709610,0.09268894,0.008412323,0.0
107914174,0.08124719,0.0065781516,0.0
108114991,0.09633433,0.007301611,0.0
108319811,0.061224885,0.0054819896,0.0
108519839,0.071121134,0.0068650073,0.0
108720608,0.06469177,0.004380694,0.0
108925385,0.061822586,0.0058903075,0.0
109125420,0.10824686,0.010807339,0.0
109326238,0.10764645,0.0052012,0.0
109531230,0.11178989,0.0055394447,0.0
109732018,0.081929035,0.0037147938,0.0
109932600,0.10966717,0.022982022,0.0
110135838,0.08546701,0.0088402685,0.0
110336616,0.050886925,0.0038561688,0.0
110537417,0.07253426,0.004652254,0.0
110741751,0.083195485,0.0048127994,0.0
110942948,0.08798568,0.01269669,0.0
111148124,0.08568661,0.020520795,0.0
111348083,0.10851547,0.024549833,0.0
111548891,0.089102395,0.019950414,0.0
111753406,0.06306602,0.0052530924,0.0
111954986,0.087769516,0.003728248,0.0
112160042,0.08530047,0.0068465513,0.0
112359759,0.103326045,0.007105583,0.0
112564888,0.035651278,0.004224726,0.0
112769651,0.21128073,0.004150133,0.0
112970440,0.2384828,0.0052025756,0.0
113173368,0.21210088,0.0069688465,0.0
113374986,0.071897216,0.020429064,0.0
113580912,0.038495384,0.005225353,0.0
113780933,0.037618067,0.008371974,0.0
113984587,0.2105901,0.0335231,0.0
114190137,0.21526049,0.014114024,0.0
114389770,0.22547396,0.01739154,0.0
114594167,0.22561093,0.007367748,0.0
114796128,0.14036658,0.0110659,0.0
114995336,0.09256545,0.004540708,0.0
115199769,0.2114334,0.0036994857,0.0
115404957,0.17747581,0.012092776,0.0
115604907,0.17908835,0.0058126263,0.0
115810187,0.22945681,0.013199729,0.0
116011638,0.16047372,0.012161443,0.0
116214992,0.2023355,0.0102493325,0.0
116415857,0.16034406,0.0060670073,0.0
116616562,0.16957611,0.012188925,0.0
116821628,0.16526107,0.0050761886,0.0
117021757,0.20059805,0.0064150007,0.0
117227793,0.17206377,0.008804184,0.0
117430250,0.20195727,0.009888485,0.0
117630971,0.20359494,0.0036602656,0.0
117836200,0.2102132,0.0075423936,0.0
118039782,0.17830247,0.008226938,0.0
118240587,0.18312675,0.009805481,0.0
118444866,0.16549161,0.0071884994,0.0
118646127,0.19515152,0.008471929,0.0
118846543,0.22495101,0.003559777,0.0
119050153,0.1910055,0.011493931,0.0
119250991,0.18371758,0.002985338,0.0
119451797,0.19349664,0.0071147503,0.0
119656240,0.18430103,0.012793213,0.0
119856619,0.20023161,0.011013655,0.0
120058179,0.20880412,0.010541409,0.0
120262554,0.22343312,0.010691131,0.0
120462998,0.2429184,0.00748827,0.0
120668205,0.21306361,0.00889488,0.0
120868248,0.14670888,0.008988924,0.0
121069316,0.16635829,0.012374404,0.0
121273381,0.10677501,0.008056947,0.0
121473406,0.20390613,0.0093911085,0.0
121674490,0.22179562,0.005134717,0.0
121876495,0.217806,0.011907285,0.0
122078957,0.21194607,0.007574091,0.0
122279810,0.21964735,0.008606837,0.0
122484084,0.21093877,0.010366231,0.0
122684952,0.053523105,0.0073619382,0.0
122886359,0.05165959,0.005744529,0.0
123087005,0.054990973,0.0136340745,0.0
123286981,0.1851401,0.0090519935,0.0
123492150,0.1924104,0.008769388,0.0
123692076,0.24000473,0.0036582039,0.0
123896577,0.2461613,0.00812135,0.0
124101717,0.045510378,0.008843429,0.0
124302484,0.022257825,0.004780579,0.0
124502208,0.11919938,0.003574987,0.0
124708048,0.19981845,0.007982181,0.0
124908056,0.22204706,0.009360807,0.0
125112575,0.2247392,0.0055631846,0.0
125314201,0.22957648,0.0059121754,0.0
125519026,0.025767656,0.013264469,0.0
125718997,0.081108995,0.0034082038,0.0
125924104,0.06463476,0.0075464514,0.0
126124997,0.12118225,0.008676002,0.0
126324934,0.08155623,0.0042079943,0.0
126529399,0.14107545,0.018317487,0.0
126730190,0.19690868,0.01693194,0.0
126930172,0.05917975,0.0064847693,0.0
127135328,0.08906129,0.008031593,0.0
127336131,0.07961613,0.008248887,0.0
127535861,0.12763698,0.011164135,0.0
127741345,0.16155127,0.004040444,0.0
127941655,0.14675243,0.0172331,0.0
128141692,0.13693056,0.0114130005,0.0
128346598,0.016978238,0.00883398,0.0
128550228,0.20888276,0.016142625,0.0
128750960,0.19124565,0.011423656,0.0
128956918,0.23658209,0.001834554,0.0
129156597,0.14879172,0.01802279,0.0
129360607,0.07264887,0.0050541083,0.0
129562575,0.08224913,0.0070932554,0.0
129766340,0.104638435,0.012920793,0.0
129971326,0.15267515,0.00794348,0.0
