timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
265248034,1623530949800215,-235559927,-467302411,721656,716383,0.21800001,0.5270027,0.71000004,1.419,0.76,1.43,110,22,0.010000001,0.0,0.010000001,-0.014,3.392303,0,nan,0.0,3,1,14
265447040,1623530950000215,-235559925,-467302413,721644,716371,0.231,0.5270039,0.711,1.419,0.76,1.43,110,22,0.0050000004,-0.0050000004,-0.001,-0.011000001,3.392303,0,nan,0.0,3,1,14
266249270,1623530950800215,-235559918,-467302417,721613,716340,0.23,0.5270083,0.712,1.419,0.76,1.43,110,12,0.014,-0.014,0.0,-0.016,3.392303,0,nan,0.0,3,1,14
267246347,1623530951800215,-235559908,-467302422,721609,716336,0.261,0.5270142,0.71400005,1.4210001,0.76,1.43,110,12,0.013,0.001,-0.013,-0.058000002,3.392303,0,nan,0.0,3,1,14
268243996,1623530952800215,-235559898,-467302427,721639,716366,0.261,0.52702063,0.71800005,1.4280001,0.76,1.43,110,8,0.017,0.0,-0.017,-0.048,3.392303,0,nan,0.0,3,1,14
269249068,1623530953800214,-235559889,-467302432,721649,716376,0.25500003,0.5270268,0.721,1.4350001,0.76,1.43,110,5,0.003,-0.002,0.001,-0.032,3.392303,0,nan,0.0,3,1,14
270252033,1623530954800214,-235559880,-467302437,721686,716413,0.259,0.5270332,0.726,1.4440001,0.76,1.43,110,5,0.010000001,0.0050000004,-0.009000001,-0.019000001,3.392303,0,nan,0.0,3,1,14
271250757,1623530955800214,-235559873,-467302440,721807,716534,0.23900001,0.5270395,0.72800004,1.45,0.76,1.43,110,12,0.024,-0.018000001,0.016,-0.041,3.392303,0,nan,0.0,3,1,14
272247031,1623530956800214,-235559870,-467302446,722071,716798,0.23900001,0.5270456,0.72700006,1.4490001,0.76,1.43,110,10,0.028,-0.027,0.006,-0.043,3.392303,0,nan,0.0,3,1,14
273262039,1623530957800213,-235559873,-467302455,722525,717252,0.25,0.5270519,0.721,1.432,0.76,1.43,110,11,0.014,-0.0050000004,-0.013,-0.028,3.392303,0,nan,0.0,3,1,14
274253032,1623530958800213,-235559877,-467302461,722919,717646,0.23500001,0.5270578,0.717,1.4180001,0.76,1.43,109,10,0.027,-0.026,-0.009000001,-0.036000002,3.392303,0,nan,0.0,3,1,14
275249034,1623530959800213,-235559882,-467302464,723219,717946,0.20300001,0.52706325,0.71300006,1.414,0.76,1.43,109,11,0.023000002,0.021000002,-0.009000001,0.012,3.392303,0,nan,0.0,3,1,14
276251033,1623530960800213,-235559874,-467302464,723416,718143,0.15400001,0.5691871,0.712,1.414,0.76,1.4399999,109,10,0.022000002,0.008,-0.020000001,0.0,5.4085674,0,nan,0.0,3,1,14
277255033,1623530961800212,-235559878,-467302457,723610,718337,0.25300002,0.5691925,0.708,1.409,0.76,1.4399999,109,10,0.025,0.025,0.0,0.069000006,5.4085674,0,nan,0.0,3,1,14
278254194,1623530962800212,-235559882,-467302451,723840,718567,0.17600001,0.5691978,0.703,1.401,0.76,1.4399999,109,7,0.125,-0.123,0.019000001,0.009000001,5.4085674,0,nan,0.0,3,1,14
279252042,1623530963800212,-235559866,-467302450,723967,718694,0.19900002,0.42833886,0.69900006,1.3980001,0.76,1.4399999,102,6,0.078,0.017,-0.076000005,0.081,5.8909044,0,nan,0.0,3,1,14
280253042,1623530964800211,-235559856,-467302447,724056,718783,0.25,0.4283469,0.69600004,1.3950001,0.76,1.4399999,102,7,0.022000002,0.022000002,-0.001,0.068,5.8909044,0,nan,0.0,3,1,14
281252031,1623530965800211,-235559839,-467302447,724031,718758,0.24700001,0.42835492,0.69100004,1.3900001,0.76,1.4399999,102,13,0.008,0.004,-0.006,0.047000002,5.8909044,0,nan,0.0,3,1,14
282253033,1623530966800211,-235559823,-467302448,724038,718765,0.24800001,0.42836297,0.68600005,1.3820001,0.76,1.4399999,102,12,0.008,0.0050000004,-0.006,0.09200001,5.8909044,0,nan,0.0,3,1,14
