timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
1635364025,1625858516199552,-235560417,-467302000,718637,713364,0.112,0.5263052,0.47500002,0.794,0.66999996,1.23,109,6,0.001,-0.001,-0.001,-0.002,3.0213778,0,nan,0.0,3,1,15
1635583815,1625858516399552,-235560417,-467302000,718631,713358,0.163,0.5263061,0.47500002,0.794,0.66999996,1.23,109,6,0.008,-0.003,-0.008,0.016,3.0213778,0,nan,0.0,3,1,15
1636563027,1625858517399551,-235560413,-467301997,718648,713375,0.17400001,0.5263103,0.476,0.795,0.66999996,1.23,109,7,0.010000001,0.0,-0.010000001,0.025,3.0213778,0,nan,0.0,3,1,15
1637560088,1625858518399551,-235560410,-467301994,718700,713427,0.16900001,0.5263143,0.476,0.79600006,0.66999996,1.23,109,8,0.009000001,0.007,0.0050000004,-0.016,3.0213778,0,nan,0.0,3,1,15
1638565041,1625858519399551,-235560407,-467301991,718764,713491,0.142,0.5263178,0.476,0.79600006,0.66999996,1.23,109,7,0.010000001,0.009000001,0.004,0.010000001,3.0213778,0,nan,0.0,3,1,15
1639562024,1625858520399550,-235560405,-467301987,718809,713536,0.12900001,0.5263213,0.476,0.79600006,0.66999996,1.23,109,11,0.0050000004,-0.004,-0.002,0.004,3.0213778,0,nan,0.0,3,1,15
1640558063,1625858521399550,-235560402,-467301984,718876,713603,0.10700001,0.52632457,0.47500002,0.795,0.66999996,1.23,109,11,0.0050000004,-0.0050000004,-0.001,-0.001,3.0213778,0,nan,0.0,3,1,15
1641567024,1625858522399550,-235560401,-467301981,718943,713670,0.171,0.5263281,0.47500002,0.794,0.66999996,1.23,109,6,0.006,-0.006,0.0,-0.023000002,3.0213778,0,nan,0.0,3,1,15
1642568024,1625858523399549,-235560400,-467301979,718978,713705,0.09,0.5263314,0.47400004,0.79300004,0.66999996,1.23,109,5,0.012,-0.002,-0.012,0.001,3.0213778,0,nan,0.0,3,1,15
1643564030,1625858524399549,-235560400,-467301978,718988,713715,0.17500001,0.5263356,0.47300002,0.791,0.66999996,1.23,109,5,0.003,-0.001,-0.003,0.023000002,3.0213778,0,nan,0.0,3,1,15
1644554030,1625858525399549,-235560402,-467301977,718973,713700,0.18,0.52634,0.47200003,0.79,0.66999996,1.23,109,6,0.003,-0.003,0.0,0.043,3.0213778,0,nan,0.0,3,1,15
1645567028,1625858526399548,-235560404,-467301977,718941,713668,0.16100001,0.52634454,0.47100002,0.78900003,0.66999996,1.23,109,5,0.013,-0.0050000004,0.011000001,0.021000002,3.0213778,0,nan,0.0,3,1,15
1646567028,1625858527399548,-235560407,-467301977,718907,713634,0.13100001,0.52634835,0.47000003,0.78800005,0.66999996,1.23,109,8,0.007,0.0050000004,-0.0050000004,0.008,3.0213778,0,nan,0.0,3,1,15
1647568021,1625858528399547,-235560410,-467301977,718882,713609,0.17500001,0.5263529,0.46800002,0.78900003,0.66999996,1.23,109,8,0.009000001,0.007,-0.0050000004,0.051000003,3.0213778,0,nan,0.0,3,1,15
1648562029,1625858529399547,-235560414,-467301979,718844,713571,0.171,0.5263571,0.467,0.791,0.66999996,1.23,109,8,0.009000001,0.004,0.008,0.046000004,3.0213778,0,nan,0.0,3,1,15
1649568025,1625858530399547,-235560418,-467301981,718791,713519,0.117000006,0.5263611,0.46600002,0.794,0.66999996,1.23,109,6,0.025,-0.006,-0.025,0.014,3.0213778,0,nan,0.0,3,1,15
1650565028,1625858531399546,-235560422,-467301982,718702,713429,0.165,0.52636546,0.46500003,0.79600006,0.66999996,1.24,109,6,0.014,0.0,0.014,0.033,3.0213778,0,nan,0.0,3,1,15
1651569174,1625858532399546,-235560427,-467301984,718598,713325,0.17300001,0.5263698,0.46500003,0.799,0.66999996,1.24,109,5,0.015000001,-0.002,-0.015000001,0.045,3.0213778,0,nan,0.0,3,1,15
1652564029,1625858533399546,-235560431,-467301986,718481,713208,0.16800001,0.52637434,0.46400002,0.80100006,0.66999996,1.24,109,11,0.012,0.008,-0.009000001,0.027,3.0213778,0,nan,0.0,3,1,15
1653572131,1625858534399545,-235560435,-467301989,718366,713093,0.149,0.52637875,0.46500003,0.804,0.66999996,1.24,109,5,0.011000001,0.007,-0.009000001,0.013,3.0213778,0,nan,0.0,3,1,15
1654565028,1625858535399545,-235560439,-467301992,718243,712970,0.17600001,0.5263833,0.46500003,0.80700004,0.66999996,1.24,109,6,0.012,-0.0050000004,-0.011000001,0.039,3.0213778,0,nan,0.0,3,1,15
1655566223,1625858536399545,-235560444,-467301994,718112,712839,0.14,0.52638745,0.46500003,0.809,0.66999996,1.24,109,7,0.004,-0.004,0.0,0.008,3.0213778,0,nan,0.0,3,1,15
1656566027,1625858537399544,-235560448,-467301996,717995,712722,0.163,0.526392,0.46500003,0.81000006,0.66999996,1.24,109,11,0.021000002,0.012,-0.018000001,0.045,3.0213778,0,nan,0.0,3,1,15
1657566028,1625858538399544,-235560452,-467301997,717880,712607,0.17500001,0.52639633,0.46500003,0.809,0.66999996,1.24,109,6,0.008,-0.008,-0.002,0.030000001,3.0213778,0,nan,0.0,3,1,15
