timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
26578910,1628793450000451,-235560502,-467302065,728655,723382,0.22600001,0.7775674,0.703,1.8040001,0.58,0.98999995,90,55,0.0050000004,0.0050000004,0.001,0.032,2.071388,0,nan,0.0,3,0,1,17,0
26775566,1628793450200451,-235560503,-467302065,728661,723388,0.231,0.7775681,0.70000005,1.7980001,0.58,0.98999995,90,55,0.012,-0.006,0.010000001,0.021000002,2.071388,0,nan,0.0,3,0,1,17,0
27175111,1628793450600452,-235560505,-467302064,728661,723388,0.23300001,0.77756983,0.69600004,1.7870001,0.58,0.98999995,90,69,0.014,0.0,0.014,0.030000001,2.071388,0,nan,0.0,3,0,1,17,0
27577923,1628793451000452,-235560506,-467302062,728635,723362,0.23300001,0.7775714,0.69100004,1.7760001,0.58,0.98999995,90,69,0.011000001,-0.002,0.010000001,0.021000002,2.071388,0,nan,0.0,3,0,1,17,0
28176503,1628793451600452,-235560508,-467302061,728597,723324,0.23600002,0.77757335,0.68500006,1.7590001,0.58,0.98999995,90,49,0.012,-0.011000001,0.0050000004,0.039,2.071388,0,nan,0.0,3,0,1,17,0
28579984,1628793452000453,-235560509,-467302059,728564,723291,0.23500001,0.7775749,0.68100005,1.748,0.58,0.98999995,90,49,0.020000001,-0.009000001,0.018000001,0.045,2.071388,0,nan,0.0,3,0,1,17,0
29179306,1628793452600453,-235560510,-467302058,728557,723284,0.19800001,0.7775769,0.675,1.7300001,0.58,0.97999996,90,52,0.024,0.022000002,0.009000001,0.027,2.071388,0,nan,0.0,3,0,1,17,0
29577875,1628793453000454,-235560511,-467302056,728542,723269,0.22800002,0.7775786,0.67200005,1.7210001,0.58,0.97999996,90,52,0.010000001,0.0050000004,0.009000001,0.019000001,2.071388,0,nan,0.0,3,0,1,17,0
30178009,1628793453600454,-235560513,-467302053,728618,723345,0.18300001,0.77758044,0.66700006,1.7060001,0.58,0.97999996,90,64,0.039,0.030000001,0.025,0.026,2.071388,0,nan,0.0,3,0,1,17,0
30576884,1628793454000455,-235560515,-467302051,728647,723374,0.22600001,0.777582,0.66400003,1.6960001,0.58,0.97999996,90,64,0.014,0.002,0.014,0.023000002,2.071388,0,nan,0.0,3,0,1,17,0
31178043,1628793454600455,-235560518,-467302047,728658,723385,0.177,0.77758384,0.661,1.682,0.58,0.97999996,90,60,0.013,0.012,-0.0050000004,0.014,2.071388,0,nan,0.0,3,0,1,17,0
31574895,1628793455000455,-235560519,-467302044,728649,723376,0.22800002,0.7775854,0.65800005,1.674,0.58,0.97999996,90,60,0.008,-0.008,-0.001,0.031000001,2.071388,0,nan,0.0,3,0,1,17,0
32176671,1628793455600456,-235560521,-467302038,728591,723318,0.16000001,0.77758723,0.65400004,1.6620001,0.58,0.97999996,90,55,0.014,0.008,0.012,0.004,2.071388,0,nan,0.0,3,0,1,17,0
32576326,1628793456000456,-235560522,-467302036,728572,723299,0.18400002,0.77758867,0.652,1.6530001,0.58,0.97999996,90,55,0.021000002,0.019000001,-0.010000001,-0.013,2.071388,0,nan,0.0,3,0,1,17,0
33178880,1628793456600457,-235560523,-467302031,728520,723247,0.20700002,0.7775904,0.648,1.641,0.58,0.97999996,90,64,0.020000001,-0.008,-0.018000001,-0.020000001,2.071388,0,nan,0.0,3,0,1,17,0
33579065,1628793457000457,-235560524,-467302028,728498,723225,0.171,0.77759176,0.646,1.6340001,0.58,0.97999996,90,64,0.019000001,0.002,0.019000001,0.008,2.071388,0,nan,0.0,3,0,1,17,0
34178266,1628793457600458,-235560526,-467302025,728494,723221,0.21700001,0.7775939,0.643,1.6240001,0.58,0.97999996,90,63,0.0050000004,0.0,-0.0050000004,0.022000002,2.071388,0,nan,0.0,3,0,1,17,0
34576907,1628793458000458,-235560527,-467302022,728483,723210,0.22000001,0.77759546,0.64100003,1.6170001,0.58,0.97999996,90,63,0.008,-0.004,0.007,0.016,2.071388,0,nan,0.0,3,0,1,17,0
35178232,1628793458600459,-235560528,-467302018,728464,723191,0.15400001,0.77759755,0.638,1.6060001,0.58,0.97999996,90,58,0.013,0.011000001,-0.007,-0.004,2.071388,0,nan,0.0,3,0,1,17,0
35575085,1628793459000459,-235560530,-467302014,728436,723163,0.2,0.777599,0.63600004,1.598,0.58,0.97999996,90,58,0.026,0.008,0.025,0.023000002,2.071388,0,nan,0.0,3,0,1,17,0
36180909,1628793459600460,-235560531,-467302008,728364,723091,0.231,0.77760124,0.633,1.5870001,0.58,0.97999996,90,54,0.034,-0.016,0.030000001,0.072000004,2.071388,0,nan,0.0,3,0,1,17,0
36577881,1628793460000460,-235560530,-467302005,728308,723035,0.21800001,0.7776026,0.63100004,1.5790001,0.58,0.97999996,90,54,0.018000001,0.008,0.016,0.027,2.071388,0,nan,0.0,3,0,1,17,0
