timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
28560268,1628793894599946,-235560714,-467301716,734334,729061,0.14400001,1.6498879,0.73300004,1.4740001,0.65999997,1.0799999,81,29,0.012,0.010000001,-0.006,0.0,0.0,0,nan,0.0,3,0,1,14,0
28758353,1628793894799946,-235560710,-467301719,734350,729077,0.14,1.6498883,0.72800004,1.4660001,0.65999997,1.0799999,81,29,0.010000001,-0.007,0.007,-0.001,0.0,0,nan,0.0,3,0,1,14,0
29155872,1628793895199946,-235560706,-467301723,734341,729069,0.148,1.6498888,0.71800005,1.4490001,0.65999997,1.0799999,87,65,0.006,0.0,-0.006,0.007,0.0,0,nan,0.0,3,0,1,14,0
29552069,1628793895599947,-235560703,-467301727,734407,729134,0.14500001,1.6498893,0.708,1.4350001,0.63,1.0799999,87,65,0.009000001,0.009000001,-0.001,-0.001,0.0,0,nan,0.0,3,0,1,15,0
30156943,1628793896199947,-235560703,-467301726,734469,729196,0.202,1.6498904,0.703,1.4250001,0.63,1.0799999,87,47,0.009000001,0.008,-0.003,0.014,0.0,0,nan,0.0,3,0,1,15,0
30558001,1628793896599948,-235560704,-467301725,734523,729250,0.158,1.6498908,0.70000005,1.417,0.63,1.0799999,87,47,0.020000001,-0.020000001,0.002,0.004,0.0,0,nan,0.0,3,0,1,15,0
30957876,1628793896999949,-235560703,-467301725,734537,729264,0.16800001,1.6498915,0.697,1.411,0.63,1.0799999,87,47,0.034,0.023000002,-0.025,-0.017,0.0,0,nan,0.0,3,0,1,15,0
31556872,1628793897599948,-235560699,-467301727,734495,729222,0.19900002,1.6498924,0.69500005,1.4070001,0.63,1.0799999,87,34,0.032,-0.025,0.019000001,-0.036000002,0.0,0,nan,0.0,3,0,1,15,0
31956885,1628793897999950,-235560696,-467301728,734439,729166,0.17,1.6498928,0.693,1.4030001,0.63,1.0799999,87,34,0.028,0.027,-0.007,0.004,0.0,0,nan,0.0,3,0,1,15,0
32555889,1628793898599949,-235560690,-467301731,734358,729085,0.165,1.6498939,0.69100004,1.399,0.63,1.0799999,87,34,0.030000001,0.030000001,-0.0050000004,0.0050000004,0.0,0,nan,0.0,3,0,1,15,0
33154028,1628793899199950,-235560685,-467301733,734271,728998,0.13900001,1.649895,0.689,1.3950001,0.63,1.0799999,87,25,0.018000001,-0.006,0.017,-0.001,0.0,0,nan,0.0,3,0,1,15,0
33556920,1628793899599950,-235560681,-467301735,734174,728901,0.21200001,1.6498955,0.688,1.394,0.63,1.0799999,87,25,0.011000001,0.001,-0.011000001,0.021000002,0.0,0,nan,0.0,3,0,1,15,0
34157013,1628793900199951,-235560668,-467301741,734050,728777,0.16600001,1.6498964,0.67600006,1.3770001,0.63,1.0799999,87,25,0.020000001,0.017,-0.011000001,-0.011000001,0.0,0,nan,0.0,3,0,1,15,0
34556876,1628793900599951,-235560663,-467301744,733978,728705,0.21300001,1.649897,0.67300004,1.371,0.63,1.0799999,87,25,0.009000001,0.0050000004,0.007,-0.017,0.0,0,nan,0.0,3,0,1,15,0
35154890,1628793901199952,-235560660,-467301745,733872,728599,0.22500001,1.649898,0.674,1.373,0.63,1.0799999,93,36,0.012,0.011000001,0.004,-0.021000002,0.0,0,nan,0.0,3,0,1,15,0
35553880,1628793901599952,-235560658,-467301745,733829,728556,0.21200001,1.6498988,0.675,1.3740001,0.63,1.0799999,93,36,0.027,0.020000001,-0.017,-0.025,0.0,0,nan,0.0,3,0,1,15,0
36156264,1628793902199952,-235560654,-467301745,733711,728438,0.21900001,1.6498998,0.675,1.3740001,0.63,1.0799999,93,32,0.019000001,-0.017,-0.007,0.025,0.0,0,nan,0.0,3,0,1,15,0
36552901,1628793902599953,-235560652,-467301744,733621,728348,0.22200002,1.6499006,0.675,1.3740001,0.63,1.0799999,93,32,0.021000002,0.016,-0.013,0.038000003,0.0,0,nan,0.0,3,0,1,15,0
