timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
84348029,1623529897200457,-235560341,-467301921,732543,727270,0.208,0.7144221,0.58000004,1.042,0.68,1.18,87,13,0.012,-0.009000001,-0.008,0.075,5.725294,0,nan,0.0,3,1,16
84540029,1623529897400457,-235560343,-467301923,732407,727134,0.19700001,0.7144227,0.57900006,1.041,0.68,1.18,87,13,0.019000001,-0.014,0.013,0.020000001,5.725294,0,nan,0.0,3,1,16
85350071,1623529898200457,-235560346,-467301933,731903,726630,0.147,0.7144252,0.57600003,1.0400001,0.68,1.18,87,11,0.021000002,-0.018000001,0.010000001,-0.015000001,5.725294,0,nan,0.0,3,1,16
86349195,1623529899200457,-235560350,-467301944,731304,726031,0.18300001,0.7144285,0.573,1.041,0.74,1.42,86,8,0.006,0.004,0.003,0.018000001,5.725294,0,nan,0.0,3,1,15
87344316,1623529900200457,-235560352,-467301955,730691,725418,0.127,0.71443164,0.57000005,1.0370001,0.68,1.17,86,8,0.0050000004,-0.002,-0.004,-0.004,5.725294,0,nan,0.0,3,1,16
88358549,1623529901200456,-235560353,-467301968,730135,724862,0.143,0.7144348,0.56700003,1.033,0.68,1.17,86,14,0.008,-0.001,-0.008,-0.008,5.725294,0,nan,0.0,3,1,16
89359245,1623529902200456,-235560352,-467301980,729595,724322,0.148,0.71443826,0.564,1.029,0.68,1.17,86,13,0.014,0.0050000004,-0.013,-0.004,5.725294,0,nan,0.0,3,1,16
90359029,1623529903200456,-235560351,-467301992,729120,723847,0.13100001,0.7144418,0.56200004,1.026,0.68,1.17,86,13,0.002,-0.002,0.002,-0.004,5.725294,0,nan,0.0,3,1,16
91355383,1623529904200456,-235560347,-467302004,728677,723404,0.185,0.7144449,0.56,1.024,0.68,1.17,86,18,0.009000001,-0.0050000004,-0.007,0.014,5.725294,0,nan,0.0,3,1,16
92359025,1623529905200455,-235560341,-467302016,728288,723015,0.201,0.71444803,0.558,1.0220001,0.68,1.17,86,14,0.014,-0.014,-0.002,0.027,5.725294,0,nan,0.0,3,1,16
