timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
1686367027,1625858567199534,-235560402,-467302001,719303,714030,0.165,0.5265124,0.46400002,0.79,0.66999996,1.24,109,6,0.004,-0.003,0.003,-0.020000001,3.0213778,0,nan,0.0,3,1,15
1686567026,1625858567399534,-235560402,-467302002,719329,714056,0.141,0.5265131,0.46400002,0.79,0.66999996,1.24,109,6,0.003,0.002,0.002,-0.007,3.0213778,0,nan,0.0,3,1,15
1687368049,1625858568199533,-235560401,-467302003,719413,714140,0.13700001,0.5265161,0.46300003,0.78800005,0.66999996,1.24,109,7,0.007,0.001,-0.007,-0.008,3.0213778,0,nan,0.0,3,1,15
1688360026,1625858569199533,-235560400,-467302005,719517,714244,0.165,0.5265199,0.462,0.785,0.66999996,1.24,109,6,0.016,-0.012,0.009000001,-0.034,3.0213778,0,nan,0.0,3,1,15
1689358084,1625858570199533,-235560399,-467302005,719604,714331,0.17,0.5265237,0.46100003,0.78300005,0.71999997,1.41,109,7,0.004,-0.003,0.001,-0.032,3.0213778,0,nan,0.0,3,1,14
1690362028,1625858571199532,-235560399,-467302004,719675,714402,0.15900001,0.5265276,0.46,0.78200006,0.71999997,1.41,109,9,0.002,0.0,-0.002,-0.019000001,3.0213778,0,nan,0.0,3,1,14
1691362036,1625858572199532,-235560399,-467302004,719721,714448,0.16000001,0.5265321,0.45900002,0.78000003,0.71999997,1.41,109,7,0.009000001,0.009000001,0.003,-0.012,3.0213778,0,nan,0.0,3,1,14
1692367082,1625858573199532,-235560401,-467302003,719741,714468,0.16700001,0.5265365,0.45900002,0.78000003,0.71999997,1.41,109,12,0.0050000004,0.004,0.004,-0.014,3.0213778,0,nan,0.0,3,1,14
1693367025,1625858574199531,-235560403,-467302002,719755,714482,0.15300001,0.52654034,0.45900002,0.77900004,0.71999997,1.41,109,13,0.008,0.001,0.008,-0.013,3.0213778,0,nan,0.0,3,1,14
1694365035,1625858575199531,-235560406,-467302000,719751,714478,0.106000006,0.52654403,0.45800003,0.77900004,0.71999997,1.41,109,6,0.010000001,0.001,0.010000001,0.007,3.0213778,0,nan,0.0,3,1,14
1695370086,1625858576199530,-235560408,-467301998,719733,714460,0.12900001,0.5265482,0.45800003,0.77900004,0.71999997,1.41,109,5,0.0050000004,-0.0050000004,0.001,-0.007,3.0213778,0,nan,0.0,3,1,14
1696364028,1625858577199530,-235560412,-467301996,719690,714417,0.156,0.5265522,0.45800003,0.77800006,0.71999997,1.41,109,6,0.009000001,-0.008,0.004,0.011000001,3.0213778,0,nan,0.0,3,1,14
1697369157,1625858578199530,-235560414,-467301993,719652,714380,0.16700001,0.5265559,0.45700002,0.77800006,0.71999997,1.41,109,6,0.004,0.0,-0.004,0.026,3.0213778,0,nan,0.0,3,1,14
1698363248,1625858579199529,-235560417,-467301990,719602,714329,0.172,0.5265599,0.45600003,0.777,0.71999997,1.41,110,6,0.008,-0.006,-0.0050000004,0.021000002,3.0213778,0,nan,0.0,3,1,14
1699365028,1625858580199529,-235560420,-467301987,719549,714276,0.16800001,0.52656376,0.45600003,0.777,0.71999997,1.41,110,5,0.006,0.001,-0.006,0.028,3.0213778,0,nan,0.0,3,1,14
1700363028,1625858581199529,-235560421,-467301983,719510,714237,0.133,0.5265676,0.455,0.77800006,0.71999997,1.41,110,5,0.010000001,0.009000001,0.006,0.010000001,3.0213778,0,nan,0.0,3,1,14
1701359129,1625858582199528,-235560423,-467301979,719471,714198,0.163,0.52657175,0.455,0.77800006,0.71999997,1.41,110,5,0.013,0.001,0.013,0.028,3.0213778,0,nan,0.0,3,1,14
1702363037,1625858583199528,-235560425,-467301974,719434,714161,0.16800001,0.5265761,0.455,0.77900004,0.71999997,1.41,110,8,0.007,-0.003,-0.006,0.022000002,3.0213778,0,nan,0.0,3,1,14
1703365395,1625858584199528,-235560426,-467301970,719393,714120,0.156,0.5265798,0.455,0.78000003,0.71999997,1.41,110,6,0.017,0.008,0.015000001,0.030000001,3.0213778,0,nan,0.0,3,1,14
1704350027,1625858585199527,-235560427,-467301966,719350,714077,0.15,0.52658415,0.455,0.781,0.71999997,1.41,110,7,0.028,-0.014,-0.024,0.032,3.0213778,0,nan,0.0,3,1,14
