timestamp,saturation_status
670994824,1533
671996233,1533
672996436,1533
673996604,1533
674998053,1533
675995735,1
676995919,1
677994849,1
678995040,1
679995223,1
680996627,1
681995551,1
682995745,1
683995901,1
684997351,1
685994999,1
686996432,1
687996594,1
688998033,1
689996946,1
690995872,1
691997283,1
692994968,1
693996405,1
694996557,1
695995491,1
696995673,1
697995822,1
698997240,1
699998662,3
700996307,1
701996473,1
702997878,1197
703996781,1
704996929,1
705998328,1
706994741,1
707996145,1
708996276,1
709995187,1
710995319,1
711996722,1
712996859,1
713995752,1
714995897,1
715997285,1
716997445,1
717996320,1
718996475,1
719997860,1
720994238,1
721996886,1533
722997013,1533
723997161,1533
