timestamp,saturation_status
1233721105,1533
1234726179,1533
1235722535,1533
1236723886,1533
1237723972,1533
1238721548,1533
1239722898,1533
1240724240,1533
1241724321,1533
1242721926,1
1243723262,1
1244724632,1
1245723465,1
1246722297,1
1247723640,1
1248724989,1
1249723841,1
1250723949,1
1251724025,1
1252721625,1
1253724240,1
1254724311,1
1255721918,1
1256722009,1
1257728335,1
1258724691,1
1259722277,1
1260722364,1
1261728695,1
1262725049,1
1263722638,1
1264722719,1
1265725294,1
1266721634,1
1267722978,1
1268721809,1
1269721914,1
1270721978,1
1271723327,1
1272724661,1
1273722233,1
1274722326,1
1275723662,1
1276722504,1
1277722590,1
1278725159,1
1279724017,1
1280722840,1
1281722924,1
1282725529,1
1283724343,1
1284726929,1
1285723254,1
1286729578,1
1287722182,1
1288723508,1
1289723577,1
1290726160,1
1291722499,1
1292723819,1
1293723915,1
1294721498,1
1295722811,1
1296724153,1
1297721734,1
1298721807,1
1299723156,1
1300724487,1
1301723312,1
1302723415,1
1303723481,1
1304724805,1
1305722400,1
1306723725,1
1307723798,1
1308721395,1
1309724002,1
1310724065,1
1311721650,1533
1312721732,1533
1313724308,1533
